season,matches,total_goals,avg_goals_per_game
93/94,130,316,2.43
94/95,119,342,2.87
95/96,100,257,2.57
96/97,99,248,2.51
97/98,106,281,2.65
98/99,89,200,2.25
99/00,112,319,2.85
00/01,99,271,2.74
01/02,90,242,2.69
02/03,99,243,2.45
03/04,90,237,2.63
04/05,95,235,2.47
05/06,96,210,2.19
06/07,89,198,2.22
07/08,97,255,2.63
08/09,79,215,2.72
09/10,86,257,2.99
10/11,87,228,2.62
11/12,89,256,2.88
12/13,79,235,2.97
13/14,80,196,2.45
14/15,80,236,2.95
15/16,90,251,2.79
16/17,90,242,2.69
17/18,90,236,2.62
18/19,90,251,2.79
19/20,90,248,2.76
20/21,49,175,3.57
21/22,87,243,2.79
22/23,115,324,2.82
23/24,90,273,3.03
24/25,80,230,2.88
25/26,60,157,2.62
